hip,ra,dec,Vmag,plx,period,SpType,main_id,NAME,rgb,otype_txt,oid,temp
1684,5.26782971,-2.90959901,6.92,12.42,,K0,HD   1679,,"rgb(255,223,194)",RG*,1355363,4657
1686,5.28028766,37.96860317,5.16,20.42,,F5III,* rho And,,"rgb(248,243,249)",PM*,1544664,6664
1706,5.36992048,-77.42687264,5.96,4.68,,K3III,HD   1801,,"rgb(254,206,161)",*,3274695,3955
1708,5.37999249,-28.98146883,5.18,10.5,,K0III,* iot Scl,,"rgb(255,225,197)",RG*,1240610,4728
1715,5.396247,38.18711983,6.86,7.15,,K0,HD   1712,,"rgb(255,220,188)",*,1544665,4527
1725,5.4266911,67.82301538,6.55,5.97,,K0,HD   1695,,"rgb(255,226,199)",*,222465,4788
1728,5.44280717,-20.05802357,5.61,4.21,,M5/M6Ib/II,V* T Cet,,"rgb(253,199,146)",S*,1286931,3677
1766,5.5886764,-50.99248673,6.68,11.29,,K2III,HD   1817,,"rgb(255,220,187)",PM*,3262432,4510
1772,5.60618151,13.48248843,6.25,5.98,,K3III,*  42 Psc,,"rgb(255,214,176)",PM*,1434907,4260
1795,5.70016123,-39.26241414,6.75,13.13,,F2IV,HD   1856,,"rgb(243,242,253)",PM*,1175176,7038
1799,5.70782705,29.45427965,6.95,7.45,1.43,A3,V* LR And,,"rgb(227,234,255)",SB*,1502810,8071
1803,5.71578446,-12.20943813,6.39,49.05,7.34,G3V,*   9 Cet,,"rgb(255,240,231)",BY*,1315073,5745
1809,5.73902784,38.75428701,6.69,3.88,,M4III:,HD   1831,,"rgb(254,200,148)",V*,1544867,3711
1821,5.76832494,-15.94255628,6.43,3.23,,M0III,HD   1879,,"rgb(253,198,145)",PM*,1304845,3655
1830,5.80253336,-31.03577534,6.55,5.13,,B9IV,V* AV Scl,,"rgb(196,214,253)",a2*,1224905,10941
1849,5.84227475,-29.84725067,6.81,4.23,,M2III,HD   1923,,"rgb(254,200,148)",V*,1242506,3705
